OBJECTID_1,OBJECTID,GEOID,STATE,STUSAB,STATE_NAME,COUNTY,NAME,B03002EST1,B01001_UNDER17,B01001_UNDER17_PCT,B01001_18TO24,B01001_18TO24_PCT,B01001_25TO64,B01001_25TO64_PCT,B01001_ABOVE64,B01001_ABOVE64_PCT,B03002EST3,B03002EST3_PCT,B03002EST4,B03002EST4_PCT,B03002EST5,B03002EST5_PCT,B03002EST6,B03002EST6_PCT,B03002EST7,B03002EST7_PCT,B03002EST8,B03002EST8_PCT,B03002TMNH,B03002TMNH_PCT,B03002EST12,B03002EST12_PCT,B11005EST1,B11005EST2,B11005EST2_PCT,B11006EST2,B11006EST2_PCT,B11001EST8,B11001EST8_PCT,B16005EST1,B16005NE,B16005NE_PCT,B25010EST1,B25010EST2,B25010EST3,B15001EST1,AGE_18TO24,AGE_25TO34,AGE_35TO44,AGE_45TO64,AGE_65UP,LT9_18TO24,LT9_18TO24_PCT,HSND_18TO24,HSND_18TO24_PCT,HS_18TO24,HS_18TO24_PCT,CND_18TO24,CND_18TO24_PCT,AD_18TO24,AD_18TO24_PCT,BD_18TO24,BD_18TO24_PCT,GD_18TO24,GD_18TO24_PCT,LT9_25TO34,LT9_25TO34_PCT,HSND_25TO34,HSND_25TO34_PCT,HS_25TO34,HS_25TO34_PCT,CND_25TO34,CND_25TO34_PCT,AD_25TO34,AD_25TO34_PCT,BD_25TO34,BD_25TO34_PCT,GD_25TO34,GD_25TO34_PCT,LT9_35TO44,LT9_35TO44_PCT,HSND_35TO44,HSND_35TO44_PCT,HS_35TO44,HS_35TO44_PCT,CND_35TO44,CND_35TO44_PCT,AD_35TO44,AD_35TO44_PCT,BD_35TO44,BD_35TO44_PCT,GD_35TO44,GD_35TO44_PCT,LT9_45TO64,LT9_45TO64_PCT,HSND_45TO64,HSND_45TO64_PCT,HS_45TO64,HS_45TO64_PCT,CND_45TO64,CND_45TO64_PCT,AD_45TO64,AD_45TO64_PCT,BD_45TO64,BD_45TO64_PCT,GD_45TO64,GD_45TO64_PCT,LT9_65UP,LT9_65UP_PCT,HSND_65UP,HSND_65UP_PCT,HS_65UP,HS_65UP_PCT,CND_65UP,CND_65UP_PCT,AD_65UP,AD_65UP_PCT,BD_65UP,BD_65UP_PCT,GD_65UP,GD_65UP_PCT,Shape__Area,Shape__Length
1,0,02020,02,AK,Alaska,020,Anchorage,292090,70908,24.28,28837,9.87,159968,54.77,32377,11.08,165727,56.74,14856,5.09,20117,6.89,27471,9.4,8254,2.83,1526,0.52,26728,9.15,27411,9.38,106970,36435,34.06,34161,31.94,27708,25.9,271257,1193,0.44,2.66,2.74,2.53,221182,28837,50922,38346,70700,32377,248,0.86,2722,9.44,11483,39.82,11089,38.45,1223,4.24,1909,6.62,163,0.57,679,1.33,2355,4.62,12456,24.46,14102,27.69,5183,10.18,12311,24.18,3836,7.53,377,0.98,1071,2.79,8241,21.49,9316,24.29,3315,8.64,10012,26.11,6014,15.68,1690,2.39,2762,3.91,16787,23.74,16905,23.91,6509,9.21,15317,21.66,10730,15.18,1510,4.66,1111,3.43,8154,25.18,7294,22.53,2169,6.7,6055,18.7,6084,18.79,19230231769.9375,736859.086774001
2,0,02050,02,AK,Alaska,050,Bethel,18263,6508,35.63,1914,10.48,8492,46.5,1349,7.39,1719,9.41,144,0.79,15124,82.81,209,1.14,45,0.25,0,0,668,3.66,354,1.94,4499,2315,51.46,1521,33.81,898,19.96,16340,17,0.1,3.83,4.33,3.21,11755,1914,2767,1969,3756,1349,50,2.61,650,33.96,823,43,348,18.18,0,0,19,0.99,24,1.25,64,2.31,385,13.91,1503,54.32,468,16.91,87,3.14,181,6.54,79,2.86,13,0.66,203,10.31,1014,51.5,334,16.96,182,9.24,90,4.57,133,6.75,90,2.4,327,8.71,1840,48.99,836,22.26,204,5.43,225,5.99,234,6.23,471,34.91,75,5.56,432,32.02,169,12.53,29,2.15,63,4.67,110,8.15,456201383472.594,9237933.72054011
3,0,02060,02,AK,Alaska,060,Bristol Bay,739,143,19.35,35,4.74,475,64.28,86,11.64,354,47.9,4,0.54,219,29.63,17,2.3,9,1.22,4,0.54,57,7.71,75,10.15,284,75,26.41,114,40.14,79,27.82,689,0,0,2.29,2.56,1.99,596,35,77,118,280,86,0,0,2,5.71,13,37.14,14,40,1,2.86,5,14.29,0,0,1,1.3,11,14.29,16,20.78,25,32.47,3,3.9,18,23.38,3,3.9,0,0,0,0,33,27.97,26,22.03,1,0.85,43,36.44,15,12.71,1,0.36,5,1.79,87,31.07,110,39.29,24,8.57,42,15,11,3.93,14,16.28,3,3.49,32,37.21,20,23.26,4,4.65,11,12.79,2,2.33,4921460177.42188,336815.488268195
4,0,02063,02,AK,Alaska,063,Chugach,6495,1387,21.35,422,6.5,3814,58.72,872,13.43,4764,73.35,72,1.11,399,6.14,372,5.73,62,0.95,65,1,396,6.1,365,5.62,2310,711,30.78,974,42.16,619,26.8,6107,4,0.07,2.71,2.55,3.15,5108,422,1167,723,1924,872,0,0,32,7.58,260,61.61,107,25.36,1,0.24,22,5.21,0,0,0,0,82,7.03,468,40.1,275,23.56,82,7.03,151,12.94,109,9.34,0,0,11,1.52,73,10.1,115,15.91,154,21.3,172,23.79,198,27.39,0,0,71,3.69,474,24.64,678,35.24,162,8.42,293,15.23,246,12.79,37,4.24,3,0.34,111,12.73,434,49.77,94,10.78,148,16.97,45,5.16,104811974184,11353521.915246
5,0,02066,02,AK,Alaska,066,Copper River,2894,805,27.82,209,7.22,1524,52.66,356,12.3,1645,56.84,5,0.17,824,28.47,16,0.55,0,0,0,0,280,9.68,124,4.28,1063,385,36.22,369,34.71,266,25.02,2698,0,0,2.7,2.78,2.45,2089,209,261,425,838,356,27,12.92,50,23.92,63,30.14,69,33.01,0,0,0,0,0,0,4,1.53,0,0,131,50.19,54,20.69,4,1.53,44,16.86,24,9.2,0,0,10,2.35,119,28,112,26.35,20,4.71,87,20.47,77,18.12,3,0.36,40,4.77,319,38.07,210,25.06,96,11.46,78,9.31,92,10.98,16,4.49,13,3.65,81,22.75,52,14.61,3,0.84,118,33.15,73,20.51,292521786419.422,3013517.56214652
6,0,02068,02,AK,Alaska,068,Denali,2502,260,10.39,376,15.03,1604,64.11,262,10.47,2025,80.94,54,2.16,43,1.72,51,2.04,0,0,5,0.2,287,11.47,37,1.48,726,132,18.18,297,40.91,330,45.45,2466,0,0,2.22,2.28,1.94,2242,376,309,346,949,262,0,0,75,19.95,111,29.52,168,44.68,16,4.26,6,1.6,0,0,0,0,27,8.74,68,22.01,38,12.3,17,5.5,126,40.78,33,10.68,0,0,0,0,144,41.62,114,32.95,24,6.94,49,14.16,15,4.34,5,0.53,5,0.53,245,25.82,189,19.92,77,8.11,236,24.87,192,20.23,2,0.76,3,1.15,106,40.46,60,22.9,12,4.58,67,25.57,12,4.58,166137411403.766,2084187.85833541
7,0,01017,01,AL,Alabama,017,Chambers,33427,6946,20.78,2710,8.11,17241,51.58,6530,19.54,18413,55.08,13372,40,81,0.24,368,1.1,9,0.03,74,0.22,267,0.8,843,2.52,13582,3958,29.14,6096,44.88,3738,27.52,31443,15,0.05,2.42,2.45,2.36,26481,2710,4222,3706,9313,6530,21,0.77,277,10.22,1149,42.4,1006,37.12,168,6.2,89,3.28,0,0,54,1.28,367,8.69,1435,33.99,1208,28.61,470,11.13,554,13.12,134,3.17,101,2.73,363,9.79,1298,35.02,1054,28.44,350,9.44,413,11.14,127,3.43,417,4.48,1007,10.81,3756,40.33,1860,19.97,1050,11.27,916,9.84,307,3.3,762,11.67,1069,16.37,2340,35.83,1044,15.99,333,5.1,608,9.31,374,5.73,2222661125.14063,208605.981162603
8,0,01019,01,AL,Alabama,019,Cherokee,26035,5003,19.22,1889,7.26,13174,50.6,5969,22.93,23779,91.33,1250,4.8,150,0.58,26,0.1,0,0,0,0,398,1.53,432,1.66,10836,2940,27.13,5257,48.51,2984,27.54,24907,74,0.3,2.38,2.47,2.06,21032,1889,2555,2870,7749,5969,0,0,233,12.33,947,50.13,573,30.33,77,4.08,56,2.96,3,0.16,86,3.37,299,11.7,832,32.56,742,29.04,322,12.6,186,7.28,88,3.44,215,7.49,241,8.4,862,30.03,349,12.16,610,21.25,215,7.49,378,13.17,413,5.33,883,11.4,3082,39.77,1511,19.5,813,10.49,515,6.65,532,6.87,483,8.09,668,11.19,2719,45.55,1184,19.84,353,5.91,286,4.79,276,4.62,2276000916.36328,237079.525903136
9,0,01021,01,AL,Alabama,021,Chilton,44147,10560,23.92,3434,7.78,22835,51.72,7318,16.58,35283,79.92,4268,9.67,11,0.02,195,0.44,0,0,170,0.39,797,1.81,3423,7.75,17140,5364,31.3,7163,41.79,4328,25.25,41400,55,0.13,2.55,2.56,2.51,33587,3434,5687,5677,11471,7318,121,3.52,286,8.33,1960,57.08,899,26.18,129,3.76,39,1.14,0,0,70,1.23,734,12.91,2747,48.3,966,16.99,585,10.29,470,8.26,115,2.02,300,5.28,695,12.24,2005,35.32,1062,18.71,671,11.82,778,13.7,166,2.92,701,6.11,1575,13.73,5112,44.56,2080,18.13,734,6.4,797,6.95,472,4.11,490,6.7,920,12.57,3206,43.81,956,13.06,437,5.97,426,5.82,883,12.07,2578782343.33594,248625.253348986
10,0,01023,01,AL,Alabama,023,Choctaw,12755,2548,19.98,944,7.4,6315,49.51,2948,23.11,7200,56.45,5393,42.28,7,0.05,25,0.2,0,0,0,0,61,0.48,69,0.54,5330,1523,28.57,2817,52.85,1747,32.78,12084,0,0,2.36,2.33,2.51,10207,944,1449,1219,3647,2948,0,0,263,27.86,279,29.56,310,32.84,67,7.1,25,2.65,0,0,33,2.28,124,8.56,339,23.4,391,26.98,233,16.08,178,12.28,151,10.42,5,0.41,108,8.86,347,28.47,319,26.17,220,18.05,52,4.27,168,13.78,203,5.57,332,9.1,1459,40.01,899,24.65,318,8.72,355,9.73,81,2.22,323,10.96,475,16.11,1201,40.74,385,13.06,297,10.07,176,5.97,91,3.09,3327534693.95313,324953.691109386
