OBJECTID_1,GEOID,STATE,STATE_NAME,COUNTY,NAME,B08013EST1,B08013_AVG_TTW,B08303EST1,B08303_30MINUS_TTW,B08303_30MINUS_TTW_PCT,B08303_30TO59_TTW,B08303_30TO59_TTW_PCT,B08303_60PLUS_TTW,B08303_60PLUS_TTW_PCT,B17019EST2,B17019_OWN,B17019_OWN_PCT,B17019_RENT,B17019_RENT_PCT,B17021EST1,B17021EST2,B17021EST2_PCT,B17021_FAM,B17021_FAM_PCT,B17021EST14,B17021EST14_PCT,B19013EST1,B19025EST1,B19113EST1,B19202EST1,B19001_LT15,B19001_LT15_PCT,B19001_15TO25,B19001_15TO25_PCT,B19001_25TO35,B19001_25TO35_PCT,B19001_35TO45,B19001_35TO45_PCT,B19001_45TO60,B19001_45TO60_PCT,B19001EST12,B19001EST12_PCT,B19001EST13,B19001EST13_PCT,B19001EST14,B19001EST14_PCT,B19001EST15,B19001EST15_PCT,B19001_GT150,B19001_GT150_PCT,B23001_CLF,B23001_UE,B23001_UE_PCT,B23001_16TO24,B23001_UE_16TO24,B23001_UE_16TO24_PCT,B23001_25TO64,B23001_UE_25TO64,B23001_UE_25TO64_PCT,B23001_ABOVE64,B23001_UE_ABOVE64,B23001_UE_ABOVE64_PCT,B25014_CROWD,B25014_CROWD_PCT,B25014_NONCROWD_O,B25014_NONCROWD_O_PCT,B25014_MODCROWD_O,B25014_MODCROWD_O_PCT,B25014_SEVCROWD_O,B25014_SEVCROWD_O_PCT,B25014_NONCROWD_R,B25014_NONCROWD_R_PCT,B25014_MODCROWD_R,B25014_MODCROWD_R_PCT,B25014_SEVCROWD_R,B25014_SEVCROWD_R_PCT,B25106_CB,B25106_CB_PCT,B25106_CB_LT35,B25106_CB_LT35_PCT,B25106_CB_GT35,B25106_CB_GT35_PCT,B25106_CB_O_LT35,B25106_CB_O_LT35_PCT,B25106_CB_O_GT35,B25106_CB_O_GT35_PCT,B25106_CB_R_LT35,B25106_CB_R_LT35_PCT,B25106_CB_R_GT35,B25106_CB_R_GT35_PCT,C24010EST1,C24010_MPRO,C24010_MPRO_PCT,C24010_SERVICE,C24010_SERVICE_PCT,C24010_SALES,C24010_SALES_PCT,C24010_FARM,C24010_FARM_PCT,C24010_CEMR,C24010_CEMR_PCT,C24010_PTM,C24010_PTM_PCT,B20004EST1,B20004EST2,B20004EST3,B20004EST4,B20004EST5,B20004EST6,B23006EST1,CIVIL,UNEMP,NILF,B23006EST6,B23006EST6_PCT,B23006EST7,B23006EST7_PCT,B23006EST8,B23006EST8_PCT,B23006EST13,B23006EST13_PCT,B23006EST14,B23006EST14_PCT,B23006EST15,B23006EST15_PCT,B23006EST20,B23006EST20_PCT,B23006EST21,B23006EST21_PCT,B23006EST22,B23006EST22_PCT,B23006EST27,B23006EST27_PCT,B23006EST28,B23006EST28_PCT,B23006EST29,B23006EST29_PCT,B24021EST2,B24021EST17,B24021EST25,B24021EST28,B24021EST29,B24021EST32,Shape__Area,Shape__Length
1,02066,02,Alaska,066,Copper River,24535,24.39,1006,866,86.08,19,1.89,121,12.03,44,15,34.09,29,65.91,2876,268,9.32,141,52.61,127,47.39,64745,91744800,87981,33333,138,12.98,72,6.77,62,5.83,26,2.45,168,15.8,136,12.79,82,7.71,158,14.86,76,7.15,145,13.64,1259,71,5.64,86,3,2.31,1524,52,4.95,356,16,20.51,46,4.33,771,95.54,4,0.5,32,3.97,246,96.09,2,0.78,8,3.13,185,17.4,118,47.01,67,8.58,59,34.71,61,9.58,59,72.84,6,4.17,1188,415,34.93,134,11.28,221,18.6,27,2.27,168,14.14,71,5.98,60250,,50577,56550,49063,79375,1524,999,52,458,28,2.8,0,0,29,6.33,322,32.23,41,78.85,201,43.89,319,31.93,8,15.38,169,36.9,330,33.03,3,5.77,59,12.88,78472,,36250,61042,76250,80313,292521786419.422,3013517.56214652
2,02068,02,Alaska,068,Denali,26985,16.31,1654,1394,84.28,167,10.1,93,5.62,7,2,28.57,5,71.43,2441,345,14.13,34,9.86,311,90.14,76364,63098700,116648,43750,47,6.47,91,12.53,31,4.27,48,6.61,75,10.33,59,8.13,108,14.88,104,14.33,58,7.99,105,14.46,1721,63,3.66,149,18,6.87,1604,43,3.06,262,2,3.7,25,3.44,584,97.01,5,0.83,13,2.16,117,94.35,0,0,7,5.65,126,17.36,88,56.05,38,6.91,71,58.68,32,6.65,17,47.22,6,8.7,1658,209,12.61,205,12.36,397,23.94,12,0.72,172,10.37,145,8.75,31414,,30930,29722,39000,,1604,1362,43,181,7,0.51,26,60.47,4,2.21,387,28.41,7,16.28,63,34.81,375,27.53,6,13.95,68,37.57,593,43.54,4,9.3,46,25.41,70179,,8884,13573,90938,107344,166137411403.766,2084187.85833541
3,02070,02,Alaska,070,Dillingham,15095,8.74,1728,1636,94.68,85,4.92,7,0.41,189,107,56.61,82,43.39,4884,862,17.65,767,88.98,95,11.02,57436,100980500,59250,36705,137,9.58,153,10.7,150,10.49,131,9.16,170,11.89,154,10.77,205,14.34,117,8.18,73,5.1,140,9.79,2206,256,11.6,297,75,27.37,2345,179,10.43,557,2,0.93,356,24.9,646,74.77,119,13.77,99,11.46,428,75.62,69,12.19,69,12.19,334,23.36,203,55.31,131,14.65,109,49.77,85,13.26,94,63.51,46,18.18,1950,424,21.74,189,9.69,319,16.36,31,1.59,214,10.97,76,3.9,36142,19167,27639,44286,54559,,2345,1537,179,629,53,3.45,29,16.2,140,22.26,583,37.93,117,65.36,331,52.62,499,32.47,32,17.88,134,21.3,402,26.15,1,0.56,24,3.82,56136,82679,68125,42132,56036,47188,193454683589.953,3421842.48625077
4,02090,02,Alaska,090,Fairbanks North Star,912910,19.12,47758,38747,81.13,7485,15.67,1526,3.2,892,349,39.13,543,60.87,94212,6167,6.55,3686,59.77,2481,40.23,76464,3575357100,89208,54353,1924,5.32,1806,4.99,2496,6.9,2836,7.83,4361,12.05,4198,11.6,5210,14.39,4024,11.12,2962,8.18,6382,17.63,47697,3394,7.12,4874,971,13.11,51456,2384,6.39,10268,39,1.31,1960,5.41,20412,95.76,703,3.3,200,0.94,13827,92.9,425,2.86,632,4.25,10569,29.2,4783,82.27,5786,19.61,1670,69.44,2802,14.88,3113,91.32,2984,27.95,44303,9675,21.84,4822,10.88,9310,21.01,1669,3.77,5479,12.37,3304,7.46,49382,31424,41348,47558,50507,77694,51456,34932,2384,10606,1130,3.23,175,7.34,1216,11.47,7539,21.58,898,37.67,3311,31.22,13879,39.73,967,40.56,3581,33.76,12384,35.45,344,14.43,2498,23.55,72774,65298,31759,47667,64513,61458,105839844586.469,1883222.35792897
5,02100,02,Alaska,100,Haines,7055,9.46,746,698,93.57,9,1.21,39,5.23,66,45,68.18,21,31.82,2507,317,12.64,213,67.19,104,32.81,65014,68360400,84191,45000,85,9.27,107,11.67,51,5.56,80,8.72,94,10.25,140,15.27,82,8.94,131,14.29,67,7.31,80,8.72,1030,93,9.03,65,0,0,1078,93,10.04,585,0,0,102,11.12,472,85.05,60,10.81,23,4.14,343,94.75,19,5.25,0,0,202,22.03,104,52.53,98,15.1,67,58.77,89,20.18,37,44.05,9,4.33,937,245,26.15,99,10.57,218,23.27,67,7.15,181,19.32,94,10.03,39120,2499,31985,36719,49143,,1078,833,93,152,18,2.16,0,0,1,0.66,270,32.41,44,47.31,53,34.87,399,47.9,49,52.69,47,30.92,146,17.53,0,0,51,33.55,64141,,,63125,22115,20705,23364785013.3359,1866178.85198388
6,01001,01,Alabama,001,Autauga,609690,25.41,23995,14402,60.02,8140,33.92,1453,6.06,1918,1029,53.65,889,46.35,55181,8394,15.21,6773,80.69,1621,19.31,57982,1630163700,70730,30041,2313,10.73,2662,12.35,1840,8.53,1965,9.11,2207,10.24,2218,10.29,2893,13.42,2248,10.43,1288,5.97,1925,8.93,25316,736,2.91,3042,209,5.6,29370,515,2.47,8490,12,1.65,339,1.57,15785,98.12,190,1.18,113,0.7,5435,99.34,28,0.51,8,0.15,5216,24.19,3890,62.27,1326,9.18,2479,57.72,883,7.55,1411,72.28,443,16.09,24580,5783,23.53,2022,8.23,5317,21.63,692,2.82,2082,8.47,1794,7.3,40987,28132,31224,38967,52979,70556,29370,20340,515,7831,1027,5.05,132,25.63,1727,22.05,5870,28.86,113,21.94,2828,36.11,6698,32.93,247,47.96,2069,26.42,6745,33.16,23,4.47,1207,15.41,54542,37132,33520,35735,44111,41058,2208586508.72266,249970.120540953
7,01003,01,Alabama,003,Baldwin,2364500,26.03,90849,55855,61.48,28156,30.99,6838,7.53,3528,2268,64.29,1260,35.71,215170,19739,9.17,12675,64.21,7064,35.79,61756,7028501200,79907,32861,8363,9.95,6436,7.66,8385,9.98,8103,9.64,9803,11.66,7970,9.48,11536,13.73,7621,9.07,5375,6.4,10455,12.44,102795,4027,3.92,10258,1304,10.13,110847,2542,3.08,44716,181,2.5,1280,1.52,63825,98.62,447,0.69,444,0.69,18942,97.99,226,1.17,163,0.84,20692,24.62,13347,62.39,7345,12.28,7735,52.75,5243,10.54,5612,83.39,2102,20.89,98768,22751,23.03,9963,10.09,23371,23.66,2295,2.32,9105,9.22,6084,6.16,40295,25639,31659,34443,52171,64297,110847,80129,2542,27858,5148,6.42,705,27.73,4397,15.78,20344,25.39,613,24.11,8563,30.74,24644,30.76,824,32.42,8875,31.86,29993,37.43,400,15.74,6023,21.62,60450,31337,30956,36310,43244,42695,5769855948.68359,783254.486967701
8,01005,01,Alabama,005,Barbour,214515,25.53,8403,5468,65.07,1943,23.12,992,11.81,1446,384,26.56,1062,73.44,22070,6312,28.6,5165,81.83,1147,18.17,34990,480616200,45836,18073,2071,22.22,1714,18.39,877,9.41,882,9.46,978,10.49,824,8.84,680,7.29,635,6.81,214,2.3,447,4.8,9356,649,6.94,1078,221,19.09,13020,421,5.69,4777,7,0.87,350,3.75,5561,96.29,191,3.31,23,0.4,3411,96.17,109,3.07,27,0.76,2326,24.95,2120,53.93,206,4.49,766,39.57,171,4.58,1354,67.87,35,4.08,8707,1332,15.3,915,10.51,1674,19.23,237,2.72,1079,12.39,914,10.5,30102,24049,28022,28576,50000,54342,13020,6976,421,5623,859,12.31,232,55.11,2040,36.28,2392,34.29,90,21.38,2043,36.33,2597,37.23,91,21.62,1267,22.53,1128,16.17,8,1.9,273,4.86,49092,26471,4577,28629,34851,54931,3257904936.82813,320882.755269384
9,01021,01,Alabama,021,Chilton,539205,31.5,17117,8620,50.36,5971,34.88,2526,14.76,1602,1002,62.55,600,37.45,43478,7397,17.01,5546,74.98,1851,25.02,52141,1138682700,59046,26836,2100,12.25,2067,12.06,2093,12.21,1632,9.52,2162,12.61,1737,10.13,2350,13.71,1340,7.82,538,3.14,1121,6.54,18905,1153,6.1,2099,413,16.21,22835,740,4.75,7318,0,0,455,2.65,12612,97.93,256,1.99,10,0.08,4073,95.57,144,3.38,45,1.06,3209,18.72,2794,49.54,415,3.93,1551,42.31,297,3.27,1243,62.97,118,7.93,17752,2308,13,1634,9.2,4026,22.68,437,2.46,3253,18.32,2154,12.13,35631,32303,31225,40462,43469,48672,22835,14857,740,7238,1844,12.41,218,29.46,2013,27.81,6362,42.82,250,33.78,3252,44.93,4278,28.79,229,30.95,1591,21.98,2373,15.97,43,5.81,382,5.28,56627,36528,22090,37867,50543,55267,2578782343.33594,248625.253348986
10,01023,01,Alabama,023,Choctaw,150610,35.43,4251,2026,47.66,1324,31.15,901,21.2,634,412,64.98,222,35.02,12544,2473,19.71,2053,83.02,420,16.98,36634,286271600,54429,24121,941,17.65,856,16.06,683,12.81,647,12.14,416,7.8,343,6.44,608,11.41,480,9.01,74,1.39,282,5.29,4733,306,6.47,830,103,17.31,6315,201,5.13,2948,2,0.91,52,0.98,4318,99.26,27,0.62,5,0.11,960,97.96,20,2.04,0,0,830,15.57,776,36.09,54,1.95,487,27.83,54,2.12,289,72.25,0,0,4427,595,13.44,403,9.1,1069,24.15,52,1.17,685,15.47,525,11.86,34540,25147,37105,27950,42000,39167,6315,3717,201,2397,281,7.56,1,0.5,523,21.82,1136,30.56,43,21.39,966,40.3,1554,41.81,55,27.36,771,32.17,746,20.07,102,50.75,137,5.72,56719,40185,,31287,55038,39425,3327534693.95313,324953.691109386
