LESSTHAN80,LTHS_25TO34_PCT,TOT_POP,TOT_HOUSING_UNITS,UNEMPLRT,POVRT,PASSED_THRESHOLD,CDBG_PER_PR_RESID
13230,2.34,83345,38056,5.01,12.69,0,57.56830708661417
8435,1.88,49293,23151,9.02,18.38,0,39.06627124443938
8215,3.43,38184,20427,10.38,29.22,0,27.82889941690962
12320,8.65,71430,31424,4.45,20.71,0,48.0093176212661
10575,3.39,81526,34332,4.07,10.58,0,96.18279390063945
8535,2.83,55639,23697,2.91,15.21,0,90.18346437931856
35330,1.41,218289,116747,3.92,9.17,0,19.504534170930643
4855,7.11,25026,12057,6.94,28.6,0,138.8468932192649
3715,1.26,22374,9237,7.44,18.1,0,251.24560585885487
11440,5.0,57755,24404,5.2,13.74,0,29.257990314769977
19370,2.57,114324,53722,7.29,15.78,0,140.97538106630213
6095,1.28,33427,16985,3.59,15.4,0,27.977204662188857
4855,3.37,26035,16631,4.13,12.94,0,227.5262221553281
2480,2.28,12755,7410,6.47,19.71,0,92.19571370804691
4540,2.25,23866,12813,11.63,25.04,0,77.55991141396933
8335,2.45,52238,23313,5.5,15.45,0,183.7570799244808
9420,3.25,54957,26727,3.99,15.52,0,231.86014234875444
2335,0.87,13826,6834,4.05,14.55,0,104.95171819564115
66740,1.81,413977,184321,5.62,17.87,0,196.00069389215295
39370,3.42,226451,105063,6.42,18.76,0,152.88001803822152
18815,4.26,119352,52248,4.79,14.87,0,124.4302307824789
10940,3.36,63802,31238,7.33,16.94,0,23.88864773048976
2615,0.62,16336,8603,6.75,14.84,0,395.1747088186356
2180,2.03,10552,5804,12.98,27.62,0,164.49683321604505
4685,1.12,23712,13700,5.43,17.42,0,136.3801723713371
5545,1.09,33274,16241,4.88,22.96,0,169.27119347254876
3685,7.84,22732,12147,4.09,18.78,0,232.2392292917167
13835,1.58,88929,36982,5.2,11.39,0,94.25566343042071
24155,1.55,216350,88090,3.78,6.85,0,49.575938162665025
15350,2.33,80244,38021,7.05,17.83,0,62.357246853965464
6840,3.11,40450,22565,10.96,16.48,0,291.0946911138162
32185,1.21,208854,91719,5.95,17.21,0,40.44890843732647
16570,3.37,102721,47805,5.7,15.97,0,235.37131613062533
3260,7.51,16406,8493,7.95,20.77,0,280.88644245142
5305,3.42,26383,12901,3.65,21.81,0,133.08114099859353
3385,7.8,14754,7847,9.12,24.59,0,94.31027466367713
2675,2.06,17123,9203,5.45,15.24,0,198.12882701421802
17015,2.1,105319,47798,5.6,17.57,0,108.70271128107073
9310,0.86,51765,25135,5.19,17.88,0,78.09658035616738
122400,2.0,658615,308825,6.25,15.66,0,229.0658360184405
2560,2.34,13854,7410,5.11,17.67,0,201.01651307596515
16345,2.31,92870,45272,4.67,13.03,0,248.89378305313846
30650,1.24,163461,70256,4.68,19.37,0,20.16127600236236
14555,1.8,96921,36278,5.09,12.68,0,40.956639109161465
3845,3.16,18437,10311,10.87,23.45,0,59.156769596199524
63095,1.63,367686,164100,4.47,11.44,0,66.28043454922532
4065,0.78,19138,10377,6.94,21.62,0,79.5983345579231
5620,4.42,29818,14754,6.16,17.28,0,78.4496737195966
13650,5.6,96137,40661,3.65,19.06,0,9.760687745722356
895,0.0,9465,4465,2.85,13.31,1,77.21955128205128
5055,5.1,21035,16308,8.83,22.95,1,126.84551282051281
637100,3.03,4412779,1765880,5.1,12.72,1,166.93933356331763
34780,5.99,210998,115466,7.63,16.19,1,33.766172567031525
15750,2.37,110271,58230,11.03,25.32,1,63.14018126888217
43865,1.33,292090,118293,5.23,8.85,0,102.99019222385161
13290,0.94,98455,44270,7.12,6.55,0,16.70390789687044
12200,1.29,107360,42018,9.87,10.29,0,78.51468686495474
10995,1.44,71714,32943,9.37,34.43,1,34.01691977904196
19315,2.24,126442,61380,6.77,15.21,1,294.98952927542626
22225,0.48,142254,66807,8.06,17.1,1,55.211029398421196
8750,2.86,53846,33714,6.33,20.02,1,180.24515274756456
4320,3.73,38304,13678,6.93,21.15,1,536.0400177498634
9565,0.55,63118,26953,4.77,17.79,1,169.6176710716872
10385,1.82,48381,21790,9.29,21.01,1,405.0551455436631
3195,1.86,16576,7985,7.04,17.19,1,503.0063633119201
